Mary|2.629
Patricia|1.073
Linda|1.035
Barbara|0.980
Elizabeth|0.937
Jennifer|0.932
Maria|0.828
Susan|0.794
Margaret|0.768
Dorothy|0.727
Lisa|0.704
Nancy|0.669
Karen|0.667
Betty|0.666
Helen|0.663
Sandra|0.629
Donna|0.583
Carol|0.565
Ruth|0.562
Sharon|0.522
Michelle|0.519
Laura|0.510
Sarah|0.508
Kimberly|0.504
Deborah|0.494
Jessica|0.490
Shirley|0.482
Cynthia|0.469
Angela|0.468
Melissa|0.462
Brenda|0.455
Amy|0.451
Anna|0.440
Rebecca|0.430
Virginia|0.430
Kathleen|0.424
Pamela|0.416
Martha|0.412
Debra|0.408
Amanda|0.404
Stephanie|0.400
Carolyn|0.385
Christine|0.382
Marie|0.379
Janet|0.379
Catherine|0.373
Frances|0.370
Ann|0.364
Joyce|0.364
Diane|0.359
Alice|0.357
Julie|0.348
Heather|0.337
Teresa|0.336
Doris|0.335
Gloria|0.335
Evelyn|0.322
Jean|0.315
Cheryl|0.315
Mildred|0.313
Katherine|0.313
Joan|0.306
Ashley|0.303
Judith|0.297
Rose|0.296
Janice|0.285
Kelly|0.283
Nicole|0.281
Judy|0.276
Christina|0.275
Kathy|0.272
Theresa|0.271
Beverly|0.267
Denise|0.264
Tammy|0.259
Irene|0.252
Jane|0.250
Lori|0.248
Rachel|0.242
Marilyn|0.241
Andrea|0.236
Kathryn|0.234
Louise|0.229
Sara|0.229
Anne|0.228
Jacqueline|0.228
Wanda|0.226
Bonnie|0.223
Julia|0.223
Ruby|0.221
Lois|0.220
Tina|0.220
Phyllis|0.219
Norma|0.218
Paula|0.217
Diana|0.216
Annie|0.216
Lillian|0.211
Emily|0.208
Robin|0.208
Peggy|0.208
Crystal|0.207
Gladys|0.205
Rita|0.204
Dawn|0.202
Connie|0.200
Florence|0.200
Tracy|0.197
Edna|0.197
Tiffany|0.195
Carmen|0.195
Rosa|0.194
Cindy|0.192
Grace|0.189
Wendy|0.185
Victoria|0.180
Edith|0.179
Kim|0.178
Sherry|0.178
Sylvia|0.177
Josephine|0.177
Thelma|0.175
Shannon|0.175
Sheila|0.175
Ethel|0.174
Ellen|0.173
Elaine|0.173
Marjorie|0.173
Carrie|0.171
Charlotte|0.169
Monica|0.166
Esther|0.166
Pauline|0.165
Emma|0.165
Juanita|0.164
Anita|0.162
Rhonda|0.162
Hazel|0.161
Amber|0.160
Eva|0.159
Debbie|0.157
April|0.154
Leslie|0.154
Clara|0.153
Lucille|0.153
Jamie|0.153
Joanne|0.150
Eleanor|0.150
Valerie|0.149
Danielle|0.149
Megan|0.147
Alicia|0.146
Suzanne|0.145
Michele|0.145
Gail|0.145
Bertha|0.143
Darlene|0.142
Veronica|0.142
Jill|0.142
Erin|0.141
Geraldine|0.141
Lauren|0.137
Cathy|0.137
Joann|0.136
Lorraine|0.135
Lynn|0.135
Sally|0.135
Regina|0.133
Erica|0.130
Beatrice|0.130
Dolores|0.129
Bernice|0.128
Audrey|0.127
Yvonne|0.126
Annette|0.125
June|0.125
Samantha|0.124
Marion|0.122
Dana|0.122
Stacy|0.121
Ana|0.120
Renee|0.120
Ida|0.118
Vivian|0.118
Roberta|0.117
Holly|0.117
Brittany|0.117
Melanie|0.116
Loretta|0.115
Yolanda|0.115
Jeanette|0.115
Laurie|0.114
Katie|0.113
Kristen|0.111
Vanessa|0.111
Alma|0.111
Sue|0.111
Elsie|0.110
Beth|0.110
Jeanne|0.109
Vicki|0.109
Carla|0.107
Tara|0.107
Rosemary|0.107
Eileen|0.105
Terri|0.105
Gertrude|0.103
Lucy|0.103
Tonya|0.102
Ella|0.101
Stacey|0.101
Wilma|0.099
Gina|0.099
Kristin|0.099
Jessie|0.098
Natalie|0.098
Agnes|0.098
Vera|0.098
Willie|0.097
Charlene|0.097
Bessie|0.096
Delores|0.095
Melinda|0.094
Pearl|0.094
Arlene|0.094
Maureen|0.092
Colleen|0.092
Allison|0.092
Tamara|0.092
Joy|0.091
Georgia|0.091
Constance|0.091
Lillie|0.090
Claudia|0.090
Jackie|0.090
Marcia|0.090
Tanya|0.089
Nellie|0.089
Minnie|0.089
Marlene|0.088
Heidi|0.088
Glenda|0.088
Lydia|0.086
Viola|0.086
Courtney|0.086
Marian|0.086
Stella|0.085
Caroline|0.085
Dora|0.084
Jo|0.083
Vickie|0.082
Mattie|0.081
Terry|0.080
Maxine|0.079
Irma|0.079
Mabel|0.078
Marsha|0.078
Myrtle|0.078
Lena|0.077
Christy|0.077
Deanna|0.076
Patsy|0.076
Hilda|0.075
Gwendolyn|0.074
Jennie|0.073
Nora|0.073
Margie|0.072
Nina|0.072
Cassandra|0.072
Leah|0.072
Penny|0.071
Kay|0.071
Priscilla|0.071
Naomi|0.071
Carole|0.071
Brandy|0.070
Olga|0.070
Billie|0.069
Dianne|0.069
Tracey|0.069
Leona|0.069
Jenny|0.068
Felicia|0.068
Sonia|0.068
Miriam|0.066
Velma|0.066
Becky|0.066
Bobbie|0.065
Violet|0.065
Kristina|0.065
Toni|0.064
Misty|0.063
Mae|0.063
Shelly|0.062
Daisy|0.062
Ramona|0.062
Sherri|0.062
Erika|0.061
Katrina|0.061
Claire|0.061
Lindsey|0.060
Lindsay|0.060
Geneva|0.059
Guadalupe|0.059
Belinda|0.059
Margarita|0.059
Sheryl|0.059
Cora|0.058
Faye|0.058
Ada|0.057
Natasha|0.057
Sabrina|0.057
Isabel|0.057
Marguerite|0.056
Hattie|0.056
Harriet|0.056
Molly|0.055
Cecilia|0.055
Kristi|0.055
Brandi|0.055
Blanche|0.055
Sandy|0.055
Rosie|0.055
Joanna|0.055
Iris|0.055
Eunice|0.054
Angie|0.054
Inez|0.053
Lynda|0.053
Madeline|0.052
Amelia|0.052
Alberta|0.052
Genevieve|0.051
Monique|0.051
Jodi|0.051
Janie|0.051
Maggie|0.051
Kayla|0.051
Sonya|0.051
Jan|0.051
Lee|0.051
Kristine|0.051
Candace|0.051
Fannie|0.050
Maryann|0.050
Opal|0.050
Alison|0.050
Yvette|0.050
Melody|0.050
Luz|0.049
Susie|0.049
Olivia|0.049
Flora|0.049
Shelley|0.049
Kristy|0.048
Mamie|0.048
Lula|0.048
Lola|0.048
Verna|0.048
Beulah|0.048
Antoinette|0.048
Candice|0.046
Juana|0.046
Jeannette|0.046
Pam|0.046
Kelli|0.046
Hannah|0.045
Whitney|0.045
Bridget|0.045
Karla|0.044
Celia|0.044
Latoya|0.043
Patty|0.043
Shelia|0.043
Gayle|0.043
Della|0.043
Vicky|0.043
Lynne|0.043
Sheri|0.042
Marianne|0.042
Kara|0.041
Jacquelyn|0.041
Erma|0.041
Blanca|0.041
Myra|0.040
Leticia|0.040
Pat|0.040
Krista|0.040
Roxanne|0.040
Angelica|0.039
Johnnie|0.039
Robyn|0.039
Francis|0.039
Adrienne|0.039
Rosalie|0.039
Alexandra|0.039
Brooke|0.039
Bethany|0.039
Sadie|0.039
Bernadette|0.039
Traci|0.038
Jody|0.038
Kendra|0.038
Jasmine|0.038
Nichole|0.038
Rachael|0.038
Chelsea|0.038
Mable|0.038
Ernestine|0.038
Muriel|0.038
Marcella|0.037
Elena|0.037
Krystal|0.037
Angelina|0.037
Nadine|0.036
Kari|0.036
Estelle|0.036
Dianna|0.036
Paulette|0.036
Lora|0.036
Mona|0.035
Doreen|0.035
Rosemarie|0.035
Angel|0.035
Desiree|0.035
Antonia|0.035
Hope|0.034
Ginger|0.034
Janis|0.034
Betsy|0.034
Christie|0.034
Freda|0.034
Mercedes|0.033
Meredith|0.033
Lynette|0.033
Teri|0.033
Cristina|0.033
Eula|0.033
Leigh|0.032
Meghan|0.032
Sophia|0.032
Eloise|0.032
Rochelle|0.032
Gretchen|0.032
Cecelia|0.032
Raquel|0.031
Henrietta|0.031
Alyssa|0.031
Jana|0.031
Kelley|0.031
Gwen|0.031
Kerry|0.031
Jenna|0.030
Tricia|0.030
Laverne|0.030
Olive|0.030
Alexis|0.030
Tasha|0.030
Silvia|0.029
Elvira|0.029
Casey|0.029
Delia|0.029
Sophie|0.029
Kate|0.029
Patti|0.029
Lorena|0.029
Kellie|0.029
Sonja|0.029
Lila|0.029
Lana|0.029
Darla|0.029
May|0.029
Mindy|0.029
Essie|0.029
Mandy|0.029
Lorene|0.028
Elsa|0.028
Josefina|0.028
Jeannie|0.028
Miranda|0.028
Dixie|0.028
Lucia|0.028
Marta|0.028
Faith|0.028
Lela|0.028
Johanna|0.028
Shari|0.028
Camille|0.028
Tami|0.027
Shawna|0.027
Elisa|0.027
Ebony|0.027
Melba|0.027
Ora|0.027
Nettie|0.027
Tabitha|0.027
Ollie|0.027
Jaime|0.027
Winifred|0.027
Kristie|0.027
Marina|0.027
Alisha|0.027
Aimee|0.027
Rena|0.027
Myrna|0.026
Marla|0.026
Tammie|0.026
Latasha|0.026
Bonita|0.026
Patrice|0.026
Ronda|0.026
Sherrie|0.026
Addie|0.026
Francine|0.025
Deloris|0.025
Stacie|0.025
Adriana|0.025
Cheri|0.025
Shelby|0.025
Abigail|0.025
Celeste|0.025
Jewel|0.025
Cara|0.025
Adele|0.025
Rebekah|0.025
Lucinda|0.025
Dorthy|0.025
Chris|0.024
Effie|0.024
Trina|0.024
Reba|0.024
Shawn|0.024
Sallie|0.024
Aurora|0.024
Lenora|0.024
Etta|0.024
Lottie|0.024
Kerri|0.024
Trisha|0.024
Nikki|0.024
Estella|0.024
Francisca|0.024
Josie|0.024
Tracie|0.024
Marissa|0.024
Karin|0.024
Brittney|0.024
Janelle|0.024
Lourdes|0.024
Laurel|0.024
Helene|0.024
Fern|0.024
Elva|0.024
Corinne|0.024
Kelsey|0.024
Ina|0.023
Bettie|0.023
Elisabeth|0.023
Aida|0.023
Caitlin|0.023
Ingrid|0.023
Iva|0.023
Eugenia|0.023
Christa|0.023
Goldie|0.023
Cassie|0.023
Maude|0.023
Jenifer|0.023
Therese|0.022
Frankie|0.022
Dena|0.022
Lorna|0.022
Janette|0.022
Latonya|0.022
Candy|0.022
Morgan|0.022
Consuelo|0.022
Tamika|0.022
Rosetta|0.022
Debora|0.022
Cherie|0.022
Polly|0.022
Dina|0.022
Jewell|0.021
Fay|0.021
Jillian|0.021
Dorothea|0.021
Nell|0.021
Trudy|0.021
Esperanza|0.021
Patrica|0.021
Kimberley|0.021
Shanna|0.021
Helena|0.021
Carolina|0.021
Cleo|0.021
Stefanie|0.021
Rosario|0.020
Ola|0.020
Janine|0.020
Mollie|0.020
Lupe|0.020
Alisa|0.020
Lou|0.020
Maribel|0.020
Susanne|0.020
Bette|0.019
Susana|0.019
Elise|0.019
Cecile|0.019
Isabelle|0.019
Lesley|0.019
Jocelyn|0.019
Paige|0.019
Joni|0.019
Rachelle|0.019
Leola|0.019
Daphne|0.019
Alta|0.019
Ester|0.019
Petra|0.019
Graciela|0.019
Imogene|0.019
Jolene|0.019
Keisha|0.019
Lacey|0.018
Glenna|0.018
Gabriela|0.018
Keri|0.018
Ursula|0.018
Lizzie|0.018
Kirsten|0.018
Shana|0.018
Adeline|0.018
Mayra|0.018
Jayne|0.018
Jaclyn|0.018
Gracie|0.018
Sondra|0.018
Carmela|0.018
Marisa|0.018
Rosalind|0.018
Charity|0.018
Tonia|0.018
Beatriz|0.018
Marisol|0.018
Clarice|0.018
Jeanine|0.017
Sheena|0.017
Angeline|0.017
Frieda|0.017
Lily|0.017
Robbie|0.017
Shauna|0.017
Millie|0.017
Claudette|0.017
Cathleen|0.017
Angelia|0.017
Gabrielle|0.017
Autumn|0.017
Katharine|0.017
Summer|0.017
Jodie|0.017
Staci|0.017
Lea|0.017
Christi|0.017
Jimmie|0.017
Justine|0.017
Elma|0.017
Luella|0.017
Margret|0.017
Dominique|0.016
Socorro|0.016
Rene|0.016
Martina|0.016
Margo|0.016
Mavis|0.016
Callie|0.016
Bobbi|0.016
Maritza|0.016
Lucile|0.016
Leanne|0.016
Jeannine|0.016
Deana|0.016
Aileen|0.016
Lorie|0.016
Ladonna|0.016
Willa|0.016
Manuela|0.016
Gale|0.016
Selma|0.016
Dolly|0.016
Sybil|0.016
Abby|0.016
Lara|0.016
Dale|0.016
Ivy|0.016
Dee|0.016
Winnie|0.016
Marcy|0.016
Luisa|0.016
Jeri|0.015
Magdalena|0.015
Ofelia|0.015
Meagan|0.015
Audra|0.015
Matilda|0.015
Leila|0.015
Cornelia|0.015
Bianca|0.015
Simone|0.015
Bettye|0.015
Randi|0.015
Virgie|0.015
Latisha|0.015
Barbra|0.015
Georgina|0.015
Eliza|0.015
Leann|0.015
Bridgette|0.015
Rhoda|0.014
Haley|0.014
Adela|0.014
Nola|0.014
Bernadine|0.014
Flossie|0.014
Ila|0.014
Greta|0.014
Ruthie|0.014
Nelda|0.014
Minerva|0.014
Lilly|0.014
Terrie|0.014
Letha|0.014
Hilary|0.014
Estela|0.014
Valarie|0.014
Brianna|0.014
Rosalyn|0.014
Earline|0.014
Catalina|0.014
Ava|0.014
Mia|0.014
Clarissa|0.014
Lidia|0.014
Corrine|0.014
Alexandria|0.014
Concepcion|0.014
Tia|0.014
Sharron|0.014
Rae|0.014
Dona|0.014
Ericka|0.014
Jami|0.014
Elnora|0.014
Chandra|0.014
Lenore|0.014
Neva|0.013
Marylou|0.013
Melisa|0.013
Tabatha|0.013
Serena|0.013
Avis|0.013
Allie|0.013
Sofia|0.013
Jeanie|0.013
Odessa|0.013
Nannie|0.013
Harriett|0.013
Loraine|0.013
Penelope|0.013
Milagros|0.013
Emilia|0.013
Benita|0.013
Allyson|0.013
Ashlee|0.013
Tania|0.013
Tommie|0.013
Esmeralda|0.013
Karina|0.013
Eve|0.013
Pearlie|0.013
Zelma|0.013
Malinda|0.013
Noreen|0.013
Tameka|0.013
Saundra|0.013
Hillary|0.013
Amie|0.013
Althea|0.012
Rosalinda|0.012
Jordan|0.012
Lilia|0.012
Alana|0.012
Gay|0.012
Clare|0.012
Alejandra|0.012
Elinor|0.012
Michael|0.012
Lorrie|0.012
Jerri|0.012
Darcy|0.012
Earnestine|0.012
Carmella|0.012
Taylor|0.012
Noemi|0.012
Marcie|0.012
Liza|0.012
Annabelle|0.012
Louisa|0.012
Earlene|0.012
Mallory|0.012
Carlene|0.012
Nita|0.012
Selena|0.012
Tanisha|0.012
Katy|0.012
Julianne|0.012
John|0.012
Lakisha|0.011
Edwina|0.011
Maricela|0.011
Margery|0.011
Kenya|0.011
Dollie|0.011
Roxie|0.011
Roslyn|0.011
Kathrine|0.011
Nanette|0.011
Charmaine|0.011
Lavonne|0.011
Ilene|0.011
Kris|0.011
Tammi|0.011
Suzette|0.011
Corine|0.011
Kaye|0.011
Jerry|0.011
Merle|0.011
Chrystal|0.011
Lina|0.011
Deanne|0.011
Lilian|0.011
Juliana|0.011
Aline|0.011
Luann|0.011
Kasey|0.011
Maryanne|0.011
Evangeline|0.011
Colette|0.011
Melva|0.011
Lawanda|0.011
Yesenia|0.011
Nadia|0.011
Madge|0.011
Kathie|0.011
Eddie|0.011
Ophelia|0.011
Valeria|0.011
Nona|0.011
Mitzi|0.011
Mari|0.011
Georgette|0.011
Claudine|0.011
Fran|0.011
Alissa|0.011
Roseann|0.010
Lakeisha|0.010
Susanna|0.010
Reva|0.010
Deidre|0.010
Chasity|0.010
Sheree|0.010
Carly|0.010
James|0.010
Elvia|0.010
Alyce|0.010
Deirdre|0.010
Gena|0.010
Briana|0.010
Araceli|0.010
Katelyn|0.010
Rosanne|0.010
Wendi|0.010
Tessa|0.010
Berta|0.010
Marva|0.010
Imelda|0.010
Marietta|0.010
Marci|0.010
Leonor|0.010
Arline|0.010
Sasha|0.010
Madelyn|0.010
Janna|0.010
Juliette|0.010
Deena|0.010
Aurelia|0.010
Josefa|0.010
Augusta|0.010
Liliana|0.010
Young|0.010
Christian|0.010
Lessie|0.010
Amalia|0.010
Savannah|0.010
Anastasia|0.010
Vilma|0.010
Natalia|0.010
Rosella|0.010
Lynnette|0.010
Corina|0.010
Alfreda|0.009
Leanna|0.009
Carey|0.009
Amparo|0.009
Coleen|0.009
Tamra|0.009
Aisha|0.009
Wilda|0.009
Karyn|0.009
Cherry|0.009
Queen|0.009
Maura|0.009
Mai|0.009
Evangelina|0.009
Rosanna|0.009
Hallie|0.009
Erna|0.009
Enid|0.009
Mariana|0.009
Lacy|0.009
Juliet|0.009
Jacklyn|0.009
Freida|0.009
Madeleine|0.009
Mara|0.009
Hester|0.009
Cathryn|0.009
Lelia|0.009
Casandra|0.009
Bridgett|0.009
Angelita|0.009
Jannie|0.009
Dionne|0.009
Annmarie|0.009
Katina|0.009
Beryl|0.009
Phoebe|0.009
Millicent|0.009
Katheryn|0.009
Diann|0.009
Carissa|0.009
Maryellen|0.009
Liz|0.009
Lauri|0.009
Helga|0.009
Gilda|0.009
Adrian|0.009
Rhea|0.009
Marquita|0.009
Hollie|0.009
Tisha|0.009
Tamera|0.009
Angelique|0.009
Francesca|0.009
Britney|0.009
Kaitlin|0.009
Lolita|0.009
Florine|0.009
Rowena|0.009
Reyna|0.009
Twila|0.009
Fanny|0.009
Janell|0.009
Ines|0.009
Concetta|0.009
Bertie|0.009
Alba|0.009
Brigitte|0.009
Alyson|0.009
Vonda|0.008
Pansy|0.008
Elba|0.008
Noelle|0.008
Letitia|0.008
Kitty|0.008
Deann|0.008
Brandie|0.008
Louella|0.008
Leta|0.008
Felecia|0.008
Sharlene|0.008
Lesa|0.008
Beverley|0.008
Robert|0.008
Isabella|0.008
Herminia|0.008
Terra|0.008
Celina|0.008
Tori|0.008
Octavia|0.008
Jade|0.008
Denice|0.008
Germaine|0.008
Sierra|0.008
Michell|0.008
Cortney|0.008
Nelly|0.008
Doretha|0.008
Sydney|0.008
Deidra|0.008
Monika|0.008
Lashonda|0.008
Judi|0.008
Chelsey|0.008
Antionette|0.008
Margot|0.008
Bobby|0.008
Adelaide|0.008
Nan|0.008
Leeann|0.008
Elisha|0.008
Dessie|0.008
Libby|0.008
Kathi|0.008
Gayla|0.008
Latanya|0.008
Mina|0.008
Mellisa|0.008
Kimberlee|0.008
Jasmin|0.008
Renae|0.008
Zelda|0.008
Elda|0.008
Ma|0.008
Justina|0.008
Gussie|0.008
Emilie|0.008
Camilla|0.008
Abbie|0.008
Rocio|0.008
Kaitlyn|0.008
Jesse|0.008
Edythe|0.008
Ashleigh|0.008
Selina|0.008
Lakesha|0.008
Geri|0.008
Allene|0.008
Pamala|0.008
Michaela|0.008
Dayna|0.008
Caryn|0.008
Rosalia|0.008
Sun|0.007
Jacquline|0.007
Rebeca|0.007
Marybeth|0.007
Krystle|0.007
Iola|0.007
Dottie|0.007
Bennie|0.007
Belle|0.007
Aubrey|0.007
Griselda|0.007
Ernestina|0.007
Elida|0.007
Adrianne|0.007
